AAL,American Airlines Group Inc. 
AAPL,Apple Inc. 
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ADM,Archer-Daniels-Midland Company 
AEO,American Eagle Outfitters Inc. 
AES,The AES Corporation 
AFRM,Affirm Holdings Inc. Class A 
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGNC,AGNC Investment Corp. 
ALLY,Ally Financial Inc. 
AM,Antero Midstream Corporation 
AMC,AMC Entertainment Holdings Inc. Class A 
AMCR,Amcor plc Ordinary Shares
AMD,Advanced Micro Devices Inc. 
AMZN,Amazon.com Inc. 
APA,APA Corporation 
APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock
AQN,Algonquin Power & Utilities Corp. Common Shares
AR,Antero Resources Corporation 
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AVTR,Avantor Inc. 
AZN,AstraZeneca PLC American Depositary Shares
BA,Boeing Company (The) 
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,Bank of America Corporation 
BB,BlackBerry Limited 
BBD,Banco Bradesco Sa American Depositary Shares
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BILI,Bilibili Inc. American Depositary Shares
BKR,Baker Hughes Company Class A 
BMY,Bristol-Myers Squibb Company 
BP,BP p.l.c. 
BSX,Boston Scientific Corporation 
BTG,B2Gold Corp Common shares (Canada)
BTU,Peabody Energy Corporation  
C,Citigroup Inc. 
CAG,ConAgra Brands Inc. 
CCL,Carnival Corporation 
CHPT,ChargePoint Holdings Inc. 
CLF,Cleveland-Cliffs Inc. 
CLVT,Clarivate Plc Ordinary Shares
CMCSA,Comcast Corporation Class A 
CNC,Centene Corporation 
COIN,Coinbase Global Inc. Class A 
COTY,Coty Inc. Class A 
COUP,Coupa Software Incorporated 
CPNG,Coupang Inc. Class A 
CRM,Salesforce Inc. 
CRWD,CrowdStrike Holdings Inc. Class A 
CS,Credit Suisse Group American Depositary Shares
CSCO,Cisco Systems Inc.  (DE)
CSX,CSX Corporation 
CTRA,Coterra Energy Inc. 
CVS,CVS Health Corporation 
CVX,Chevron Corporation 
D,Dominion Energy Inc. 
DADA,Dada Nexus Limited American Depositary Shares
DAL,Delta Air Lines Inc. 
DDOG,Datadog Inc. Class A 
DIS,Walt Disney Company (The) 
DKNG,DraftKings Inc. Class A 
DNA,Ginkgo Bioworks Holdings Inc. Class A 
DVN,Devon Energy Corporation 
ELAN,Elanco Animal Health Incorporated 
EQNR,Equinor ASA
EQT,EQT Corporation 
ERIC,Ericsson American Depositary Shares
ET,Energy Transfer LP Common Units 
EXC,Exelon Corporation 
F,Ford Motor Company 
FCX,Freeport-McMoRan Inc. 
FLEX,Flex Ltd. Ordinary Shares
FRO,Frontline Ltd. Ordinary Shares
FTNT,Fortinet Inc. 
FUTU,Futu Holdings Limited American Depositary Shares
GE,General Electric Company 
GGB,Gerdau S.A. 
GILD,Gilead Sciences Inc. 
GLW,Corning Incorporated 
GM,General Motors Company 
GME,GameStop Corporation 
GOLD,Barrick Gold Corporation  (BC)
